요일,방문 시간대,방문자 집중률
일요일,00~06시,1.8
일요일,06~11시,2.4
일요일,11~14시,2.9
일요일,14~18시,4.3
일요일,18~21시,2.2
일요일,21~24시,1.1
월요일,00~06시,1.1
월요일,06~11시,2.8
월요일,11~14시,2.6
월요일,14~18시,3.6
월요일,18~21시,1.9
월요일,21~24시,1.0
화요일,00~06시,1.0
화요일,06~11시,2.9
화요일,11~14시,2.6
화요일,14~18시,3.5
화요일,18~21시,2.0
화요일,21~24시,1.0
수요일,00~06시,1.0
수요일,06~11시,2.9
수요일,11~14시,2.7
수요일,14~18시,3.6
수요일,18~21시,2.0
수요일,21~24시,1.1
목요일,00~06시,1.0
목요일,06~11시,2.9
목요일,11~14시,2.7
목요일,14~18시,3.6
목요일,18~21시,2.1
목요일,21~24시,1.1
금요일,00~06시,1.1
금요일,06~11시,3.1
금요일,11~14시,2.8
금요일,14~18시,3.9
금요일,18~21시,2.4
금요일,21~24시,1.4
토요일,00~06시,1.6
토요일,06~11시,2.8
토요일,11~14시,3.3
토요일,14~18시,5.1
토요일,18~21시,3.1
토요일,21~24시,1.8
